Logradouro,Bairro,Cidade,UF,CEP
Servidão Henrique Gomes, Paulas, São Francisco do Sul, SC, 89333-368
Servidão José Tillmann, Paulas, São Francisco do Sul, SC, 89333-411
Servidão Luiz Soares, Paulas, São Francisco do Sul, SC, 89333-417
Servidão Manoel de Carvalho, Paulas, São Francisco do Sul, SC, 89333-319
Servidão Morro do Sabiá, Paulas, São Francisco do Sul, SC, 89333-310
Servidão Nair Dias Veloso, Paulas, São Francisco do Sul, SC, 89333-304
Servidão Ondina de Oliveira Gomes, Paulas, São Francisco do Sul, SC, 89333-371
Servidão Roberto Machado Pedroso, Paulas, São Francisco do Sul, SC, 89333-438
Travessa Ugê Truppel, Paulas, São Francisco do Sul, SC, 89333-209
Alameda Ipiranga, Rocio Grande, São Francisco do Sul, SC, 89331-120
Avenida das Rosas, Rocio Grande, São Francisco do Sul, SC, 89331-451
Avenida das Rosas, Rocio Grande, São Francisco do Sul, SC, 89331-454
Avenida Klaus Foerster, Rocio Grande, São Francisco do Sul, SC, 89331-430
Avenida Nereu Ramos, Rocio Grande, São Francisco do Sul, SC, 89331-123
Avenida Nereu Ramos, Rocio Grande, São Francisco do Sul, SC, 89331-260
Avenida Nogueira, Rocio Grande, São Francisco do Sul, SC, 89331-156
Rodovia Olívio Nóbrega, Rocio Grande, São Francisco do Sul, SC, 89331-183
Rua 1º de Maio, Rocio Grande, São Francisco do Sul, SC, 89331-147
Rua Agenor Silva, Rocio Grande, São Francisco do Sul, SC, 89331-231
Rua Antônio Machado, Rocio Grande, São Francisco do Sul, SC, 89331-207
Rua Armando Pacheco, Rocio Grande, São Francisco do Sul, SC, 89331-213
Rua Augusto Hermam Ludvig, Rocio Grande, São Francisco do Sul, SC, 89331-198
Rua Braz Sebastião Miano, Rocio Grande, São Francisco do Sul, SC, 89331-263
Rua das Alfazemas, Rocio Grande, São Francisco do Sul, SC, 89331-439
Rua das Azaléias, Rocio Grande, São Francisco do Sul, SC, 89331-460
Rua das Begonias, Rocio Grande, São Francisco do Sul, SC, 89331-433
Rua das Camélias, Rocio Grande, São Francisco do Sul, SC, 89331-396
Rua das Dálias, Rocio Grande, São Francisco do Sul, SC, 89331-399
Rua das Hortências, Rocio Grande, São Francisco do Sul, SC, 89331-466
Rua das Madressilvas, Rocio Grande, São Francisco do Sul, SC, 89331-390
Rua das Magnólias, Rocio Grande, São Francisco do Sul, SC, 89331-472
Rua das Tulipas, Rocio Grande, São Francisco do Sul, SC, 89331-393
Rua do Martelo, Rocio Grande, São Francisco do Sul, SC, 89331-165
Rua dos Botões de Ouro, Rocio Grande, São Francisco do Sul, SC, 89331-436
Rua dos Delfinos, Rocio Grande, São Francisco do Sul, SC, 89331-402
Rua dos Dentes de Leao, Rocio Grande, São Francisco do Sul, SC, 89331-405
Rua dos Geranios, Rocio Grande, São Francisco do Sul, SC, 89331-408
Rua dos Girassóis, Rocio Grande, São Francisco do Sul, SC, 89331-463
Rua dos Jasmins, Rocio Grande, São Francisco do Sul, SC, 89331-457
Rua dos Lírios, Rocio Grande, São Francisco do Sul, SC, 89331-469
Rua Doutor Manoel Antonio Bueno, Rocio Grande, São Francisco do Sul, SC, 89331-138
Rua Emmanuel Gomes, Rocio Grande, São Francisco do Sul, SC, 89331-192
Rua Francisco Wolke, Rocio Grande, São Francisco do Sul, SC, 89331-153
Rua Frei Martinho, Rocio Grande, São Francisco do Sul, SC, 89331-228
Rua Gertrudes Sanches Lunardon, Rocio Grande, São Francisco do Sul, SC, 89331-204
Rua João Bonifácio Corrêa, Rocio Grande, São Francisco do Sul, SC, 89331-180
Rua João Mór Vieira, Rocio Grande, São Francisco do Sul, SC, 89331-219
Rua João Pereira Liberato, Rocio Grande, São Francisco do Sul, SC, 89331-225
Rua Joinville, Rocio Grande, São Francisco do Sul, SC, 89331-186
Rua Jordão Cantídio da Silva, Rocio Grande, São Francisco do Sul, SC, 89331-281
Rua Jordão Cantídio da Silva, Rocio Grande, São Francisco do Sul, SC, 89331-287
Rua Jorge da Costa, Rocio Grande, São Francisco do Sul, SC, 89331-158
Rua José Justino da Silva, Rocio Grande, São Francisco do Sul, SC, 89331-493
Rua José Justino Rosa, Rocio Grande, São Francisco do Sul, SC, 89331-222
Rua Leônidas Branco, Rocio Grande, São Francisco do Sul, SC, 89331-129
Rua Levino Cabral Moreira, Rocio Grande, São Francisco do Sul, SC, 89331-216
Rua Maria Alves Mendes Cardoso, Rocio Grande, São Francisco do Sul, SC, 89331-499
Rua Maria Paun, Rocio Grande, São Francisco do Sul, SC, 89331-269
Rua Mário Roberto Robaina, Rocio Grande, São Francisco do Sul, SC, 89331-141
Rua Norberto Nunes da Silva, Rocio Grande, São Francisco do Sul, SC, 89331-323
Rua Paulo da Costa Pereira, Rocio Grande, São Francisco do Sul, SC, 89331-132
Rua Paulo Maurício Douat, Rocio Grande, São Francisco do Sul, SC, 89331-278
Rua Presbítero João Leite, Rocio Grande, São Francisco do Sul, SC, 89331-195
Rua Professora Maria José Chaves Rover, Rocio Grande, São Francisco do Sul, SC, 89331-496
Rua Roberto Armando Hartmann Robaina, Rocio Grande, São Francisco do Sul, SC, 89331-135
Rua Sacerdote Salvador Gomes de Oliveira, Rocio Grande, São Francisco do Sul, SC, 89331-562
Rua Vereador João Marcelino, Rocio Grande, São Francisco do Sul, SC, 89331-553
Rua Walter Rhinow, Rocio Grande, São Francisco do Sul, SC, 89331-490
Servidão José Ferreira Guerra, Rocio Grande, São Francisco do Sul, SC, 89331-171
Servidão José Ivo da Silva, Rocio Grande, São Francisco do Sul, SC, 89331-290
Servidão Manoel José Vicente, Rocio Grande, São Francisco do Sul, SC, 89331-550
Avenida Barão do Rio Branco, São José do Acaraí, São Francisco do Sul, SC, 89330-333
Avenida Barão do Rio Branco 424 Clique e Retire Correios, São José do Acaraí, São Francisco do Sul, SC, 89330-959
Avenida Barão do Rio Branco 424, São José do Acaraí, São Francisco do Sul, SC, 89330-970
Avenida Barão do Rio Branco 424, São José do Acaraí, São Francisco do Sul, SC, 89330-973
Rodovia Duque de Caxias, São José do Acaraí, São Francisco do Sul, SC, 89330-282
Rodovia Olívio Nóbrega, São José do Acaraí, São Francisco do Sul, SC, 89330-279
Rua Ailton da Silva, São José do Acaraí, São Francisco do Sul, SC, 89330-258
Rua Alceu Batista dos Santos, São José do Acaraí, São Francisco do Sul, SC, 89330-264
Rua Alfredo Antônio Cardoso, São José do Acaraí, São Francisco do Sul, SC, 89330-267
Rua Anacleto Lauro de Borba, São José do Acaraí, São Francisco do Sul, SC, 89330-399
Rua Ângelo Brehnn, São José do Acaraí, São Francisco do Sul, SC, 89330-246
Rua Antônio Gonçalves de Oliveira, São José do Acaraí, São Francisco do Sul, SC, 89330-459
Rua Antônio Jonas Lopes, São José do Acaraí, São Francisco do Sul, SC, 89330-390
Rua Aurélio Maia, São José do Acaraí, São Francisco do Sul, SC, 89330-255
Rua Binot Paulmier de Goneville, São José do Acaraí, São Francisco do Sul, SC, 89330-450
Rua Concílio Rosa, São José do Acaraí, São Francisco do Sul, SC, 89330-408
Rua das Flores, São José do Acaraí, São Francisco do Sul, SC, 89330-375
Rua Don Fernando Trejo Y Sanabria, São José do Acaraí, São Francisco do Sul, SC, 89330-330
Rua dos Estivadores, São José do Acaraí, São Francisco do Sul, SC, 89330-216
Rua Etelvino Quintino dos Santos, São José do Acaraí, São Francisco do Sul, SC, 89330-372
Rua Fabrício Maia Moreira, São José do Acaraí, São Francisco do Sul, SC, 89330-228
Rua Flodoaldo Nóbrega, São José do Acaraí, São Francisco do Sul, SC, 89330-222
Rua Franklin de Oliveira, São José do Acaraí, São Francisco do Sul, SC, 89330-231
Rua Guilherme Vieira Miranda Bieging, São José do Acaraí, São Francisco do Sul, SC, 89330-261
Rua Hercílio Braulio Corrêa, São José do Acaraí, São Francisco do Sul, SC, 89330-453
Rua Hermínio Vieira, São José do Acaraí, São Francisco do Sul, SC, 89330-363
Rua Hilário José de Medeiros, São José do Acaraí, São Francisco do Sul, SC, 89330-345
Rua Içá-Mirim, São José do Acaraí, São Francisco do Sul, SC, 89330-285
Rua Joaquim José da Silveira Junior, São José do Acaraí, São Francisco do Sul, SC, 89330-354
Rua Joinville, São José do Acaraí, São Francisco do Sul, SC, 89330-387
Rua Joinville, São José do Acaraí, São Francisco do Sul, SC, 89330-402
Rua Leopoldo Bernardo Grubba, São José do Acaraí, São Francisco do Sul, SC, 89330-225
Rua Lindomar Souza, São José do Acaraí, São Francisco do Sul, SC, 89330-360
Rua Luciano Branco, São José do Acaraí, São Francisco do Sul, SC, 89330-393
Rua Manoel Fernandes dos Reis, São José do Acaraí, São Francisco do Sul, SC, 89330-396
Rua Manoel Gomes Rittes, São José do Acaraí, São Francisco do Sul, SC, 89330-405
Rua Manoel João de Simas, São José do Acaraí, São Francisco do Sul, SC, 89330-366
Rua Odásio do Rosário, São José do Acaraí, São Francisco do Sul, SC, 89330-213
Rua Pastor Antônio Dominoni, São José do Acaraí, São Francisco do Sul, SC, 89330-273
Rua Pedro Dionísio da Luz, São José do Acaraí, São Francisco do Sul, SC, 89330-276
Rua Professor Aldo Possamai, São José do Acaraí, São Francisco do Sul, SC, 89330-348
Rua Professor Gil Fernandes, São José do Acaraí, São Francisco do Sul, SC, 89330-291
Rua Rodrigues Cavalinho, São José do Acaraí, São Francisco do Sul, SC, 89330-339
Rua Rosa Lilia de Oliveira, São José do Acaraí, São Francisco do Sul, SC, 89330-243
Rua Sidenei Francisco Campos, São José do Acaraí, São Francisco do Sul, SC, 89330-462
Rua Silvestre Malaquias, São José do Acaraí, São Francisco do Sul, SC, 89330-477
Rua Tranquilino Furtunato Alves, São José do Acaraí, São Francisco do Sul, SC, 89330-237
Rua Vagner Vicente da Costa - Galego, São José do Acaraí, São Francisco do Sul, SC, 89330-234
Rua Vereadora Ruth Nobrega Matinez, São José do Acaraí, São Francisco do Sul, SC, 89330-240
Rua Vicente Rampellotti, São José do Acaraí, São Francisco do Sul, SC, 89330-465
Rua Vicente Souza de Oliveira, São José do Acaraí, São Francisco do Sul, SC, 89330-249
Servidão Pompeu Machado, São José do Acaraí, São Francisco do Sul, SC, 89330-378
Travessa Amélia de Almeida Barros, São José do Acaraí, São Francisco do Sul, SC, 89330-219
Travessa Anísio Ferreira Conceição, São José do Acaraí, São Francisco do Sul, SC, 89330-252
Travessa José Caetano Pereira, São José do Acaraí, São Francisco do Sul, SC, 89330-270
Travessa Laura de Campos Lobo, São José do Acaraí, São Francisco do Sul, SC, 89330-342
Travessa Prático Pedro Pereira Lima, São José do Acaraí, São Francisco do Sul, SC, 89330-336
